Identifier,Grant number,Surname of applicant,Full name of applicant,Co-applicant(s),Sponsor(s),Grant type,Department,School / Building,Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Company Number,Recipient Org:City,Title,Planned Dates:Duration (months),Amount Awarded,Currency,Award Date,Grant Programme:Code,Grant Programme:Title,Funding Org:Identifier,Funding Org:Name,Last modified,Data source
360G-<~>€wel€cometrust-105177/Z/14/Z,105177/Z/14/Z,Addison             ,Miss Abigail Addison                ,"Mr Bentley Crudgington, Mr Gary Thomas ", ,Large Arts Awards                                 ,,,,Animate Project Limited                                                                             ,,London ,Silent Signal.                                                                                                                                                                                                                            ,30,152505,GBP,24/07/2014,AAC,Arts Awards Funding Committee,GB-CHC-210183,The Wellcome Trust,13-03-2015,http://www.wellcome.ac.uk/Managing-a-grant/Grants-awarded/index.htm
360G-<~>€well±Ácometrust-105182/Z/14/Z,105182/Z/14/Z,Sandell             ,Prof Richard Sandell           , , ,Large Arts Awards                                 ,Department of Museum Studies                                ,,GB-COH-RC000659,UNIVERSITY OF LEICESTER,RC000659,Leicester ,Exceptional and Extraordinary: unruly bodies and minds in the medical museum.                                                                                                                                                            ,25,178990,GBP,24/07/2014,AAC,Arts Awards Funding Committee,GB-CHC-210183,The Wellcome Trust,13-03-2015,http://www.wellcome.ac.uk/Managing-a-grant/Grants-awarded/index.htm
